id,car_make,car_model,car_year,car_vin
486,Mitsubishi,GTO,1990,1G6AY5SX4F0689573
487,Chrysler,300M,2001,WAULT68E45A356053
488,Oldsmobile,Cutlass,1999,2HNYD18273H728668
489,Jeep,Grand Cherokee,1996,1FTWX3D50AE175556
490,Ford,E-Series,1989,5UXFA93505L895657
491,Mercedes-Benz,S-Class,2000,SCBDC3ZA1DC549672
492,Mitsubishi,RVR,1995,1ZVBP8AN8A5809793
493,Ram,2500,2012,5UXKR0C57E0182758
494,Volkswagen,GTI,1988,WBA3A9G5XFN042376
495,Mazda,MPV,1995,2G4WE537951214252
496,Chevrolet,Tahoe,1995,WAUAF68E95A617160
497,Volkswagen,rio,2000,WBA5B3C53FD555497
498,Chevrolet,Silverado 3500,2009,1G6DS5ED9B0071319
499,Maserati,Quattroporte,1985,WBAFR7C54BC653400
500,Infiniti,G35,2007,3C4PDCEG5CT808149
